"
","Creator
","First public release
","Latest stable version
","Latest Release Date
","Programming language
","Cost (US$)
","Software license
","Open source
","CLI available
","Minimum installed size
"
"Acme
","Rob Pike
","1993
","Plan 9 and Inferno
","
","C
","Free
","LPL (OSI approved)
","
","
","
"
"AkelPad
","Alexey Kuznetsov, Alexander Shengalts
","2003
","4.9.8
","2016‑07‑18
","C
","Free
","BSD
","
","
","
"
"Alphatk
","Vince Darley
","1999
","8.3.3
","2004‑12‑10
","
","$40
","Proprietary, with BSD components
","
","
","
"
"Aquamacs
","David Reitter
","2005
","3.3
","2016‑09‑20
","C, Emacs Lisp
","Free
","GPL
","
","
","
"
"Atom
","GitHub
","2014
","1.44.0
","2020‑02‑10
","HTML, CSS, JavaScript, C++
","Free
","MIT
","
","
","~ 107‑185 MB
"
"BBEdit
","Rich Siegel
","1992
","13.0.4
","2020‑01‑15
","Objective-C, Objective-C++
","Free for most features, $49.99 for full version
","Proprietary
","
","
","
"
"Bluefish
","Bluefish Development Team
","1999
","2.2.10
","2017‑01‑27
","C
","Free
","GPL
","
","
","
"
"Brackets
","Adobe Systems
","2012
","1.14
","2019‑05‑02
","HTML, CSS, JavaScript, C++
","Free
","MIT
","
","
","~ 64‑105 MB
"
"Coda
","Panic
","2007
","2.6.6
","2017‑06‑05
","Objective-C
","$99
","Proprietary
","
","
","
"
"ConTEXT
","ConTEXT Project Ltd
","1999
","0.98.6
","2009‑08‑14
","Object Pascal (Delphi)
","Free
","BSD
","
","
","
"
"Crimson Editor
","Ingyu Kang, Emerald Editor Team
","1999
","3.72
","2008‑05‑14
","C++
","Free
","GPL
","
","
","
"
"CudaText
","UVViewSoft (alexey_t, kvichans, matthias030)
","2015
","1.57.0
","2018‑06‑25
","Object Pascal (Lazarus)
","Free
","MPL 2.0
","
","
","8 MB Mac
12 MB Win
5 Mb *nix

"
"ed
","Ken Thompson
","1970
","unchanged from original
","
","C
","Free
","?
","
","
","0.04 MB
"
"EditPlus
","Sangil Kim
","1998
","5.0
","2018‑03‑26
","C++
","$35
","Shareware
","
","
","
"
"Editra
","Cody Precord
","2007
","0.7.20
","2013‑01‑05
","Python
","Free
","wxWindows license
","
","
","
"
"EmEditor
","Emurasoft, Inc.
","1997
","18.64
","2019‑02‑08
","C++
","149.99
","Shareware
","
","
","
"
"epsilon
","Lugaru Software
","1984
","13.06
","2016‑12‑06
","C
","$250
","Proprietary
","
","
","
"
"gedit
","GNU Project
","2000
","3.28.2 (Win 3.20.1, Mac 3.2.6[1])
","2018‑05‑09
","C
","Free
","GPL
","
","
","
"
"Geany
","Enrico Tröger
","2005
","1.33
","2018‑02‑25
","C, GTK2
","Free
","GPL
","
","
","
"
